holderAddress,balance
0xDb5ee516B26F70739eC1A18b155ace18A1168d00,257914417
0x34a263293DA4A2CA68db5C24891302CFc879B07c,4
0xf1B4aA2e2658aCfbEc8C5132137c7fb878c509AE,6
0x6162904cd890afb2a22F49C3f0749495Baac7eA5,21667916561
0x20d4fE7FfE301349696c1E0B609a850f526E7808,0
0xfA91E2F6245c5C2c3151747EA551c5E3C6a6a198,7
0xfe2b0F2Ed59D70DAAcd5D9ed3ACbA6AD97d73421,12
0xDb89f642E287175B6139372899178624719871Ea,4
0x9800C577732674912A22AE4D349142Bc491b7cdf,7
0x2beAEb823EA9247ca34e073C0EA8BB7f85966aa0,5
0xcD55923C253c0177172911f2f7BA9E5F7073F4bF,7
0x3B03cD3aD31E5DfE58a02d1e18e6683f0B84fFdA,9
0xc0e8de0d4262b3Fef33169088A483061A11850eB,1
0x0e9f75AC1fF509c3E6d9DA6e55CEd123fBF95532,13
0x42Db18D76F0Cde2a2c6115017F177fFfaE4D5409,0
0x46CfA5fA29BDD389E87DEca5d4B9300A12E36fEf,0
0x134EDe76D556AcFBe03246eFc5B8DF9b7971c29f,0
0x3b1c9D24C46df6AB9775D6Bbb478987cAA6018A3,0
0x1706cD55e1d80A994f2d1a5D9778634f912169DE,4
0xE795b6E504Dbdc09593631348fE7C0428B697155,7
0x656fAFABBf1B8C42b4f63AB15F9bEE8027A25978,3
0x7dec7d0Bb9f27988c005B0fe6e9FD88b22250F08,0
0x82AF7c15312FaFcf466eF9733874F1F4D8FC5Fa2,2
0x721Bd7ea7CC17EcF88503b1E7F54532246dd6348,0
0xF3E009B9D15979015C1c993d4e1B61E12f41285c,1
0x64eA0FA30eFED0d53900FCd4fb10C6C47262f0d9,0
0x87AFaA198117496bCe792B6A5DE3b33ba7cAc73f,0
0x5426f039c05B65dba6Ce6E775F1bc24cD057e51A,9
0x3ff17D1a84cD644dB62c76CC305D1F6CaD275005,4
0x629B1C376eDbd03D07D7e71b1317Af56c37C689c,0
0x21d7a1A909620AB6aA7BbC82451A40aE74631A67,0
0x5b7534207A55B5fa30F59755136d4BF9131f7c85,0
0x29e1C9d61f0eF7A536127E5aCe95909B7B82c20e,0
0x89D022F95dC5073B7479699044fDf6E3Bc74D3b3,0
0x0c818c0123D4F3C861fc213D5d8C04203819c22c,1
0x1944942cfD89ec17B69eF011Dc1B07324b71E60a,0
0xaFb548909e139689f3f265397cf2E7C3a569DbE4,1
0xd1ef5E9fCfEBEcB4e7080989154d2a8a9Ad7f4eC,0
0x5C30926ac0d29D0519e0A01f1F028Cb87555DD69,10
0xFa7497aC448978d91D27dCA5c7b392A7aDa2C8C5,0
0x2f09c6FAA5dB81c3ad18Fe24aCC8d5b455C8E0d8,0
0x0d3C1c76DD4bb262dacCA98d270Df1D70e259e07,3921012708
0x6a509FF1F4d011f3Dc023370d9c0f55f0c1870dB,8329475414
0xCcfCAC16fCd94c3dCD80D7cd32187d1C75686ab2,2
0x9c09e1BE63Cc057B574d3251745c431B989b5504,0
0x8D869f609beD9516596D8563E26d4870f5f1AaFB,0
0x9Eba4ec7c8854Ddd7eD59525e021Ed64ec6D0e35,0
0x5bEe7135d309838166e62aCd74Db73ffb1D417c5,9
0xf70Ad87eAdDF347EaF2e2cE437E1FdBA220519B4,0
0x73f766e1FDfb6555E955039186B38108a9ea7B2e,5
0xCba1A275e2D858EcffaF7a87F606f74B719a8A93,0
0xaEaE3201957353A9D0Dd24321E866e92e1C13d86,0
0x27424206102D9087EeD23764bC939411B0dAd02B,6
0xAA490E13aE4811fBa48996c48F1693e63Bd0f0F4,1
0xF94F7b6b956225BcE60A5f0C7B82D347071E48dC,0
0x53B907D7Ff32408A4Cc3cCcFE8fED1F8665C5888,9
0x53d98d7cf2E3d03Ef031fDEC197792d0c713303d,7
0xB42D408B52D0A9e2C1408031C3451bdCa81B069A,8
0xa779FcB74578A6efe793d539C1ee987D92554E5c,1
